OBJECTID,STOP_ID,LAST_UPDATE_DATE,GeometryEasting,GeometryNorthing
348,20000801,2026-06-18,838024,822285
349,20000802,2026-06-18,838233,822322
350,20000808,2026-09-10,840332,820313
351,20000809,2026-09-11,840723,819591
352,20000810,2026-08-24,840953,819548
353,20000814,2026-09-10,841002,819514
354,20000815,2026-09-11,840685,819598
355,20000819,2026-07-13,838253,822793
356,20000820,2026-07-13,838406,823028
357,20000821,2026-09-11,838419,823187
358,20000823,2026-07-13,838408,822951
359,20000824,2026-09-11,838405,822849
360,20000831,2026-09-02,837431,822064
361,20000859,2026-09-10,835174,821845
362,20000866,2026-09-09,834653,819922
363,20000867,2026-06-18,834643,820019
364,20000868,2026-09-10,834990,819425
365,20000870,2026-09-10,835534,819161
366,20000872,2026-06-18,834957,819489
367,20000894,2026-06-18,839403,820952
368,20000895,2026-09-10,839538,820854
369,20000905,2026-06-18,834203,819943
370,20000907,2026-06-18,834586,819954
371,20000909,2026-06-18,834979,820124
372,20000911,2026-06-18,835376,820197
373,20000912,2026-09-11,835904,820128
374,20000916,2026-09-11,837080,820627
375,20000923,2026-07-16,839394,821568
376,20000935,2026-06-18,840976,820198
377,20000936,2026-06-18,840798,820325
378,20000946,2026-07-02,841217,820363
379,20000952,2026-09-11,841154,821547
380,20000953,2026-09-11,841420,820834
381,20000954,2026-06-18,840240,821478
382,20000955,2026-06-18,840260,821509
383,20000960,2026-07-16,839296,821168
384,20000968,2026-09-11,838516,822101
385,20000969,2026-09-11,838427,821972
386,20000973,2026-09-10,837453,822228
387,20000975,2026-06-18,838733,822152
388,20000976,2026-06-18,838215,822330
389,20000978,2026-06-18,837966,822199
390,20000980,2026-06-18,839390,821958
391,20000983,2026-09-11,841346,820567
392,20000985,2026-06-18,839248,822015
393,20000986,2026-06-18,839353,821076
394,20000987,2026-06-18,840270,820176
395,20000988,2026-08-24,840455,819800
396,20000989,2026-06-18,841182,819634
397,20000990,2026-06-18,840950,819536
398,20000991,2026-06-18,840512,819739
399,20000992,2026-06-18,840257,819945
400,20000993,2026-06-18,840247,820162
401,20000994,2026-07-02,840236,820608
402,20000995,2026-06-18,835797,818584
403,20001020,2026-09-11,842328,819561
404,20001039,2026-09-11,838589,823505
405,20001045,2026-07-13,839090,823184
406,20001049,2026-06-18,837439,822197
407,20001050,2026-09-09,837330,821337
408,20001053,2026-06-18,837299,820960
409,20001058,2026-07-16,839732,821278
410,20001060,2026-09-09,840155,820343
411,20001082,2026-09-11,834721,820308
412,20001093,2026-09-11,838357,822232
413,20001099,2026-06-18,839417,822431
414,20001112,2026-06-18,846211,826936
415,20001113,2026-06-18,844771,825076
416,20001114,2026-09-11,844056,824512
417,20001115,2026-09-10,840016,820304
418,20001116,2026-09-10,839488,821774
419,20001117,2026-09-11,839519,821654
420,20001118,2026-06-18,838807,822099
421,20001119,2026-06-18,839130,822021
422,20001120,2026-06-18,846062,826789
423,20001121,2026-06-18,843483,823999
424,20001128,2026-06-30,850940,828670
425,20001129,2026-06-18,851821,835619
426,20001130,2026-06-18,851150,829838
427,20001133,2026-06-18,844727,819910
428,20001137,2026-06-29,844553,820306
429,20001140,2026-09-10,845765,819851
430,20001142,2026-06-18,844736,822013
431,20001144,2026-06-18,845959,827101
432,20001145,2026-06-18,843476,822298
433,20001146,2026-09-10,842447,821620
434,20001149,2026-08-24,844619,820489
435,20001150,2026-09-11,844438,820888
436,20001151,2026-09-10,844056,820822
437,20001152,2026-09-11,843243,820134
438,20001154,2026-09-10,841809,820432
439,20001159,2026-06-18,844469,819468
440,20001161,2026-06-18,845759,819882
441,20001162,2026-06-18,845425,819792
442,20001163,2026-09-11,845224,819601
443,20001164,2026-09-11,845252,820021
444,20001166,2026-09-01,844779,820576
445,20001169,2026-09-11,843994,820830
446,20001170,2026-06-18,844661,820559
447,20001171,2026-09-01,845243,820049
448,20001172,2026-09-01,845745,819833
449,20001174,2026-09-11,844566,820419
450,20001175,2026-09-10,844504,820609
451,20001193,2026-06-18,835604,833821
452,20001194,2026-06-18,835073,834259
453,20001196,2026-06-18,835228,834815
454,20001197,2026-06-18,835347,835275
455,20001198,2026-09-10,836002,835599
456,20001199,2026-06-18,835800,835268
457,20001200,2026-09-10,835123,834292
458,20001202,2026-06-18,840055,835267
459,20001203,2026-09-11,835295,834730
460,20001205,2026-06-18,835210,834609
461,20001207,2026-09-10,833369,836039
462,20001208,2026-06-18,835009,834600
463,20001209,2026-09-11,835274,834489
464,20001210,2026-06-18,834251,834357
465,20001212,2026-09-11,834849,832322
466,20001214,2026-09-11,834619,834611
467,20001217,2026-06-18,836364,835399
468,20001218,2026-09-11,836195,835197
469,20001219,2026-06-18,835933,835130
470,20001220,2026-09-11,835828,834824
471,20001221,2026-06-18,835535,834610
472,20001222,2026-09-10,835380,834303
473,20001224,2026-09-09,835548,834214
474,20001225,2026-09-10,835841,834138
475,20001226,2026-06-18,841788,830959
476,20001227,2026-09-11,841655,831147
477,20001228,2026-09-11,841592,831378
478,20001229,2026-09-06,841634,831643
479,20001230,2026-09-11,841892,831741
480,20001231,2026-09-11,841875,831798
481,20001234,2026-09-07,841919,831689
482,20001235,2026-09-11,841585,831546
483,20001236,2026-06-18,841614,831396
484,20001238,2026-09-11,841757,831002
485,20001239,2026-09-10,835863,834108
486,20001240,2026-06-18,835707,834139
487,20001241,2026-06-18,835369,834287
488,20001242,2026-06-18,835256,834495
489,20001243,2026-06-18,835540,834643
490,20001244,2026-09-11,835800,834841
491,20001245,2026-09-11,835924,835158
492,20001248,2026-06-18,820524,833889
493,20001249,2026-06-18,819605,833790
494,20001253,2026-09-10,820940,834000
495,20001263,2026-09-11,820778,833919
496,20001264,2026-06-18,821153,834062
497,20001266,2026-06-18,819182,833739
498,20001268,2026-06-18,818548,834069
499,20001269,2026-06-18,812200,831985
500,20001271,2026-06-18,818356,834169
501,20001272,2026-06-18,818581,834064
502,20001274,2026-09-11,819191,833737
503,20001276,2026-09-09,816417,836470
504,20001278,2026-06-18,817898,838560
505,20001280,2026-09-11,822815,833834
506,20001281,2026-07-13,821232,833912
507,20001282,2026-07-13,821590,834120
508,20001283,2026-07-13,822549,833891
509,20001286,2026-07-13,822445,833867
510,20001287,2026-07-13,821597,833883
511,20001288,2026-07-13,821275,833886
512,20001289,2026-07-13,821036,833890
513,20001296,2026-06-27,821414,833730
514,20001305,2026-09-11,815172,829671
515,20001306,2026-09-11,815264,829267
516,20001308,2026-09-11,815311,828921
517,20001309,2026-06-18,815188,828679
518,20001310,2026-09-11,815128,828439
519,20001311,2026-09-11,815343,828380
520,20001312,2026-09-11,815432,828465
521,20001313,2026-08-31,815511,828225
522,20001314,2026-08-31,815514,828018
523,20001318,2026-06-18,815496,827605
524,20001319,2026-08-31,815490,828177
525,20001321,2026-06-18,815440,828598
526,20001322,2026-09-11,815471,828717
527,20001323,2026-09-11,815374,829139
528,20001324,2026-09-11,815246,829231
529,20001325,2026-09-11,815126,829704
530,20001326,2026-09-11,814846,829913
531,20001327,2026-06-18,816103,831575
532,20001332,2026-09-11,815644,830113
533,20001333,2026-06-18,815578,829909
534,20001336,2026-06-18,815449,829814
535,20001337,2026-06-18,815445,829396
536,20001338,2026-09-11,815603,828218
537,20001339,2026-06-18,815448,829437
538,20001341,2026-06-18,815431,829821
539,20001342,2026-09-11,815634,830211
540,20001344,2026-08-31,815568,828721
541,20001346,2026-08-31,815879,827943
542,20001347,2026-08-31,816067,827648
543,20001349,2026-08-31,815879,826957
544,20001351,2026-08-31,818803,826412
545,20001352,2026-08-31,817416,825807
546,20001353,2026-08-31,816738,826132
547,20001354,2026-08-31,816044,826663
548,20001355,2026-08-31,815967,827194
549,20001356,2026-08-31,816071,827303
550,20001357,2026-09-11,816063,827567
551,20001358,2026-08-31,816014,827770
552,20001359,2026-08-31,815890,827918
553,20001360,2026-08-31,816314,826779
554,20001363,2026-08-31,819757,825280
555,20001365,2026-08-31,820346,825556
556,20001368,2026-09-11,819324,825180
557,20001369,2026-08-31,818216,825273
558,20001370,2026-09-11,817948,825432
559,20001372,2026-06-18,815747,827022
560,20001373,2026-06-18,815574,827309
561,20001374,2026-06-18,814972,825981
562,20001376,2026-06-18,814804,825946
563,20001377,2026-06-18,814631,825981
564,20001378,2026-09-10,814000,826300
565,20001379,2026-09-11,814297,826986
566,20001380,2026-06-18,814464,827354
567,20001381,2026-06-18,815232,827209
568,20001382,2026-06-18,815457,827196
569,20001384,2026-09-10,831217,840270
570,20001385,2026-06-18,815516,827606
571,20001386,2026-06-18,815516,827308
572,20001387,2026-06-18,815206,827196
573,20001389,2026-09-11,814318,826978
574,20001390,2026-09-11,814053,826448
575,20001391,2026-06-18,814120,826170
576,20001392,2026-06-18,814429,826046
577,20001393,2026-06-18,814603,826007
578,20001394,2026-06-18,814799,825963
579,20001396,2026-06-18,815291,828941
580,20001397,2026-06-18,815205,829109
581,20001398,2026-06-18,815046,829090
582,20001399,2026-06-18,814793,829073
583,20001400,2026-06-18,814631,829818
584,20001401,2026-06-18,814344,829713
585,20001402,2026-06-18,814415,829589
586,20001403,2026-09-09,814768,829195
587,20001404,2026-06-18,814882,829089
588,20001405,2026-06-18,815207,829128
589,20001406,2026-09-11,826502,840374
590,20001418,2026-06-18,831100,823247
591,20001427,2026-09-10,831166,823579
592,20001428,2026-06-18,831119,823256
593,20001429,2026-06-18,831122,823118
594,20001430,2026-06-18,831292,823003
595,20001445,2026-09-11,830824,825711
596,20001453,2026-09-09,832432,839108
597,20001455,2026-09-11,832906,840075
598,20001456,2026-09-11,832497,839210
599,20001457,2026-09-09,832320,839265
600,20001460,2026-06-18,832744,839847
601,20001466,2026-06-18,832623,839675
602,20001467,2026-06-18,837324,835870
603,20001468,2026-06-18,837926,835750
604,20001469,2026-09-10,832654,840141
605,20001470,2026-08-31,832631,840099
606,20001471,2026-06-18,832607,839533
607,20001473,2026-06-18,831428,840450
608,20001474,2026-06-18,831761,840261
609,20001475,2026-06-18,832186,839925
610,20001476,2026-09-10,832445,839594
611,20001477,2026-06-18,841074,845088
612,20001478,2026-06-18,832432,839577
613,20001479,2026-06-18,832066,839934
614,20001480,2026-06-18,831749,840241
615,20001483,2026-06-18,840324,842725
616,20001492,2026-06-18,837371,827104
617,20001493,2026-09-10,837914,827502
618,20001494,2026-09-11,838035,827638
619,20001495,2026-06-18,838133,827584
620,20001496,2026-06-18,838047,828773
621,20001497,2026-06-18,837944,828873
622,20001499,2026-06-18,837373,828831
623,20001501,2026-06-18,837403,828973
624,20001502,2026-06-18,837472,828998
625,20001505,2026-09-10,838153,828698
626,20001506,2026-09-10,838342,827661
627,20001507,2026-09-11,837970,827234
628,20001510,2026-06-18,837586,828813
629,20001513,2026-09-10,838279,827590
630,20001514,2026-06-18,836525,824987
631,20001515,2026-06-18,838123,827572
632,20001516,2026-06-18,837515,825700
633,20001518,2026-09-10,837985,827288
634,20001520,2026-06-18,838142,828940
635,20001521,2026-06-18,838304,829068
636,20001522,2026-06-18,838318,829165
637,20001523,2026-06-18,838187,829102
638,20001524,2026-06-18,838305,829077
639,20001525,2026-06-18,838142,828897
640,20001544,2026-08-22,840500,826994
641,20001545,2026-08-22,840259,826977
642,20001547,2026-06-18,839285,826931
643,20001549,2026-09-11,837677,827068
644,20001550,2026-09-10,839300,826938
645,20001551,2026-09-11,840198,827077
646,20001553,2026-09-09,838489,827306
647,20001554,2026-09-11,838173,826956
648,20001556,2026-09-11,838175,827002
649,20001557,2026-09-10,838457,827317
650,20001563,2026-06-18,839327,828044
651,20001564,2026-09-10,838912,827739
652,20001567,2026-09-09,839301,828058
653,20001569,2026-09-11,837640,826965
654,20001570,2026-09-11,837421,826748
655,20001571,2026-09-11,837338,826134
656,20001572,2026-09-11,836626,825896
657,20001573,2026-09-10,836518,825956
658,20001580,2026-06-18,836528,825551
659,20001581,2026-09-11,837260,826148
660,20001582,2026-09-11,836607,825922
661,20001599,2026-09-11,817999,835242
662,20001600,2026-09-10,818391,835002
663,20001601,2026-09-11,818306,834777
664,20001603,2026-06-18,818671,834527
665,20001606,2026-06-18,820971,833915
666,20001615,2026-09-10,818352,834481
667,20001616,2026-09-11,818295,834799
668,20001618,2026-09-09,817961,835268
669,20001620,2026-07-28,818439,835505
670,20001629,2026-08-26,830626,825461
671,20001643,2026-09-10,830201,825532
672,20001646,2026-08-26,829948,825699
673,20001654,2026-09-11,831955,825353
674,20001655,2026-09-11,832186,825239
675,20001656,2026-06-18,832516,825626
676,20001658,2026-06-18,832329,825852
677,20001660,2026-09-11,832010,825812
678,20001661,2026-06-18,830043,825545
679,20001670,2026-09-11,832245,825757
680,20001671,2026-09-10,832434,825901
681,20001672,2026-09-11,832646,825524
682,20001675,2026-06-18,832310,824838
683,20001676,2026-06-18,832547,825006
684,20001677,2026-06-18,832364,825057
685,20001679,2026-09-11,832253,825668
686,20001680,2026-09-11,832147,825759
687,20001687,2026-09-10,830918,825690
688,20001690,2026-06-18,830441,824636
689,20001696,2026-06-18,830414,824689
690,20001698,2026-06-18,830223,825439
691,20001716,2026-09-10,831222,824480
692,20001726,2026-06-18,828701,824005
693,20001730,2026-09-11,828686,824697
694,20001731,2026-06-18,828758,823874
695,20001732,2026-09-10,828972,823921
696,20001734,2026-06-18,829259,823799
697,20001737,2026-09-10,829397,823021
698,20001740,2026-09-10,828412,823458
699,20001742,2026-06-18,828744,823877
700,20001746,2026-09-07,829365,822865
701,20001754,2026-09-10,829342,822871
702,20001755,2026-06-18,828589,824070
703,20001756,2026-06-18,828600,823879
704,20001757,2026-09-10,828885,823727
705,20001759,2026-06-18,828880,823703
706,20001760,2026-09-10,828576,823893
707,20001783,2026-06-18,831101,822995
708,20001792,2026-06-18,832545,822157
709,20001801,2026-06-18,831402,822789
710,20001803,2026-06-18,831126,823433
711,20001804,2026-06-18,831144,823558
712,20001814,2026-09-10,831206,823706
713,20001815,2026-09-11,830814,824311
714,20001816,2026-09-10,830644,824383
715,20001817,2026-09-11,830659,824390
716,20001818,2026-09-10,830893,824269
717,20001819,2026-06-18,831021,824121
718,20001837,2026-06-18,831394,822806
719,20001848,2026-06-18,831964,826799
720,20001851,2026-09-07,832105,825951
721,20001854,2026-09-11,831721,825023
722,20001860,2026-09-10,832317,825331
723,20001861,2026-09-10,832090,826004
724,20001862,2026-09-10,832094,826318
725,20001864,2026-06-18,832203,826666
726,20001872,2026-06-18,829676,826198
727,20001873,2026-09-01,830048,826102
